SystemIndex,LimitIndex,Kp,Tn,Tv,UpperLimit,LowerLimit,ITAE
1,1,10,3.11506535,0,0.5,-0.5,102.454714703246
2,1,10,9.560797402,0.297239776,0.5,-0.5,101.668079520428
3,1,5.720388816,9.94781798,0.694201446,0.5,-0.5,103.168565243538
4,1,1.914176447,5.04697234,1.111817107,0.5,-0.5,105.168379953189
5,1,1.426560518,5.274102002,1.460680196,0.5,-0.5,107.668455285753
6,1,1.039457993,5.143434206,1.653236006,0.5,-0.5,110.668324152336
