n,LowerLimit,UpperLimit,Kp_PSO,Ti_PSO,Td_PSO,ITAE_PSO
1,-2,2,10.0,3.115267345569773,0.0,0.07020954511191778
1,-3,3,9.93132993874221,1.9757443062282194,0.0,0.02932790373672554
1,-5,5,10.0,1.2759477347181272,0.0,0.01396807353636597
1,-10,10,10.0,0.9997768606465698,0.0,0.009984976644654048
2,-2,2,9.971555450589777,9.583433359685628,0.3110558114226606,0.5907521006795642
2,-3,3,9.999125414254742,7.345013038106198,0.3073000888684769,0.3621283840915869
2,-5,5,10.0,5.623039895060042,0.29955779004348115,0.23748136104062026
2,-10,10,10.0,4.721545784247779,0.29657040507437166,0.18724276978798102
3,-2,2,5.7211784672481105,9.95371642428875,0.6962180629464625,1.8652661253778569
3,-3,3,6.9495778842269305,9.990333414227969,0.7038647494414154,1.344140155151537
3,-5,5,8.354204849243526,9.902533104065109,0.7151732631262172,1.0059314064736748
3,-10,10,10.0,9.916477760895981,0.7204485191428049,0.8030178451450253
4,-2,2,1.9200089157309288,5.063731378094726,1.1141437881523422,4.7093659858714965
4,-3,3,2.295824849679827,5.642325474851213,1.1715234654273077,4.493553420695067
4,-5,5,2.273359790758654,5.519624924053229,1.1640986950271635,4.395200495527555
4,-10,10,2.2541073854926523,5.324767614918115,1.1572730695120075,4.213045453750606
5,-2,2,1.4261138511346452,5.2740523792750444,1.4605399950333877,9.826038220950434
5,-3,3,1.4249544546796447,5.2333302814667935,1.4648975037920604,9.701560848496966
5,-5,5,1.425209190595905,5.170189750983305,1.4528943707637547,9.495772116101074
5,-10,10,1.4077108810302665,4.977415316593196,1.4232104529797411,9.099534778398318
6,-2,2,1.0395604157499008,5.14376546100446,1.6494737476400825,16.603125192746976
6,-3,3,1.0473514445477428,5.140618793798415,1.6484670789965186,16.404756122340526
6,-5,5,1.0401189189087152,5.054675352097528,1.6357313588297309,16.068724752413623
6,-10,10,1.0350513579945928,4.921466478610964,1.6105012312729123,15.410511031032845
