SystemIndex,LimitIndex,Kp,Tn,Tv,UpperLimit,LowerLimit,ITAE
1,1,10,3.115267346,0,2,-2,0.0642103166516581
1,2,9.931329939,1.975744306,0,3,-3,0.0358823437215842
1,3,10,1.275947735,0,5,-5,0.0224325840252584
1,4,10,0.999776861,0,10,-10,0.0185473457492874
2,1,9.971555451,9.58343336,0.311055811,2,-2,0.593197186044687
2,2,9.999125414,7.345013038,0.307300089,3,-3,0.364187308613745
2,3,10,5.623039895,0.29955779,5,-5,0.237423160654783
2,4,10,4.721545784,0.296570405,10,-10,0.186613041871785
3,1,5.721178467,9.953716424,0.696218063,2,-2,1.86553525570442
3,2,6.949577884,9.990333414,0.703864749,3,-3,1.34500506947021
3,3,8.354204849,9.902533104,0.715173263,5,-5,1.00493561215054
3,4,10,9.916477761,0.720448519,10,-10,0.801611638370253
4,1,1.920008916,5.063731378,1.114143788,2,-2,4.69736133060664
4,2,2.29582485,5.642325475,1.171523465,3,-3,4.49220260521775
4,3,2.273359791,5.519624924,1.164098695,5,-5,4.39392049965117
4,4,2.254107385,5.324767615,1.15727307,10,-10,4.21302842788551
5,1,1.426113851,5.274052379,1.460539995,2,-2,9.82613065909743
5,2,1.424954455,5.233330281,1.464897504,3,-3,9.70098560428924
5,3,1.425209191,5.170189751,1.452894371,5,-5,9.49863006284375
5,4,1.407710881,4.977415317,1.423210453,10,-10,9.10217184701484
6,1,1.039560416,5.143765461,1.649473748,2,-2,16.6070631741226
6,2,1.047351445,5.140618794,1.648467079,3,-3,16.4103510453668
6,3,1.040118919,5.054675352,1.635731359,5,-5,16.0748949234453
6,4,1.035051358,4.921466479,1.610501231,10,-10,15.4204121396243
