Index,Daempfung,LimitIndex,Kp,Tn,Tv,UpperLimit,LowerLimit,ITAE,SimTime_s
1,1,1,10,0.862989576,0.208574831,2,-2,0.101311640421696,0.0992235
1,1,2,10,0.870797876,0.21171505,3,-3,0.101299942139756,0.085915
1,1,3,10,0.862660597,0.211406119,5,-5,0.101303065960597,0.0838757
1,1,4,10,0.873372409,0.206273093,10,-10,0.101302489137491,0.0787888
2,0.7,1,10,0.871189623,0.26288477,2,-2,0.100720608464972,0.0757562
2,0.7,2,10,0.865365154,0.267681595,3,-3,0.10066611775852,0.0759137
2,0.7,3,10,0.868144056,0.269645387,5,-5,0.100656176980311,0.0734502
2,0.7,4,10,0.869076708,0.268407108,10,-10,0.100653666563302,0.0733182
3,0.6,1,10,0.867646014,0.285856535,2,-2,0.100476381935375,0.0799347
3,0.6,2,10,0.868886951,0.287051139,3,-3,0.100466924503128,0.0849445
3,0.6,3,9.999868916,0.868386026,0.28825095,5,-5,0.100461278305231,0.0761599
3,0.6,4,10,0.864709487,0.288721132,10,-10,0.100467708913401,0.0759429
4,0.5,1,9.999500899,0.859901861,0.308104803,2,-2,0.100269495975149,0.0823108
4,0.5,2,10,0.86128354,0.30607368,3,-3,0.100261820168228,0.0872151
4,0.5,3,10,0.869178193,0.30701264,5,-5,0.100261461105898,0.081532
4,0.5,4,10,0.863867262,0.30606923,10,-10,0.100256217571594,0.0915633
5,0.4,1,10,0.85764561,0.326350388,2,-2,0.100090419149144,0.079077
5,0.4,2,10,0.866507137,0.328319401,3,-3,0.100056420731597,0.0767029
5,0.4,3,10,0.865432257,0.326729902,5,-5,0.100054467143848,0.0763605
5,0.4,4,10,0.85473444,0.331091866,10,-10,0.100095956737667,0.0801186
6,0.3,1,10,0.861410426,0.347368533,2,-2,0.0998448013651712,0.0775241
6,0.3,2,9.999245349,0.852899168,0.347258844,3,-3,0.0999235743112203,0.0742652
6,0.3,3,10,0.870443515,0.351446806,5,-5,0.0998992490097753,0.075733
6,0.3,4,10,0.870330929,0.343316643,10,-10,0.0998618585367156,0.0759302
7,0.2,1,10,0.86574927,0.365498178,2,-2,0.0996351444856896,0.0732473
7,0.2,2,10,0.850862324,0.371500163,3,-3,0.0997317981864012,0.0757015
7,0.2,3,10,0.860133239,0.367985459,5,-5,0.0996520754127805,0.0768659
7,0.2,4,10,0.868353577,0.371173828,10,-10,0.0996981401741005,0.0794844
8,0.1,1,10,0.863992058,0.386737181,2,-2,0.0994345998945083,0.0752037
8,0.1,2,10,0.860910137,0.386187964,3,-3,0.0994415938545189,0.0764079
8,0.1,3,10,0.863494026,0.385923151,5,-5,0.0994375373144719,0.0745262
8,0.1,4,10,0.858994678,0.3899503,10,-10,0.0994610583500895,0.0730775
9,0,1,10,0.865062833,0.40661355,2,-2,0.0992349881811428,0.076745
9,0,2,10,0.864780676,0.407699026,3,-3,0.0992357587418312,0.077416
9,0,3,10,0.86793531,0.404317972,5,-5,0.0992407352693643,0.0783464
9,0,4,9.99997704,0.862234016,0.401758843,10,-10,0.0992544806383115,0.0781394
